Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulée,thallée,Surface_feuille_2,Biomasse_sèche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1
EL4X_329.EL4X_376 wt b1,B1 - 4 - 5,gauche,Couple,Contrainte hydrique,1,4,5,329,51,229,4,3,0,,,"34,5","32,5",1,"-0,5"
EL4X_329.EL4X_376 wt b1,B1 - 4 - 5,droite,Couple,Contrainte hydrique,1,4,5,376,50,203,5,3,0,,,26,64,"0,5",0
EL4X_130.EL4X_130 wt b1,B1 - 4 - 6,gauche,Monoculture,Contrainte hydrique,1,4,6,130,47,200,4,3,0,,,"30,5","29,5",0,0
EL4X_130.EL4X_130 wt b1,B1 - 4 - 6,droite,Monoculture,Contrainte hydrique,1,4,6,130,48,150,4,3,0,,,"36,5","67,5",69,2
EL4X_165.EL4X_130 wt b1,B1 - 4 - 7,gauche,Couple,Contrainte hydrique,1,4,7,165,42,206,5,3,0,,,"35,5",31,"16,5","0,5"
EL4X_165.EL4X_130 wt b1,B1 - 4 - 7,droite,Couple,Contrainte hydrique,1,4,7,130,38,220,5,3,0,,,41,87,"80,5",2
EL4X_412.EL4X_74 wt b1,B1 - 4 - 8,gauche,Couple,Contrainte hydrique,1,4,8,412,54,192,5,3,0,,,"34,25","73,5","67,5","2,5"
EL4X_412.EL4X_74 wt b1,B1 - 4 - 8,droite,Couple,Contrainte hydrique,1,4,8,74,42,220,5,3,0,,,"26,5","31,5","0,5","0,5"
EL4X_329.EL4X_235 wt b1,B1 - 4 - 9,gauche,Couple,Contrainte hydrique,1,4,9,329,47,184,4,3,0,,,"35,5","82,5",44,2
EL4X_329.EL4X_235 wt b1,B1 - 4 - 9,droite,Couple,Contrainte hydrique,1,4,9,235,39,219,5,2,0,,,24,"25,5","25,5",0
EL4X_395.EL4X_114 wt b1,B1 - 5 - 1,gauche,Couple,Contrainte hydrique,1,5,1,395,52,202,4,2,0,,,48,53,59,2
EL4X_395.EL4X_114 wt b1,B1 - 5 - 1,droite,Couple,Contrainte hydrique,1,5,1,114,47,188,4,3,0,,,"42,5",55,"57,5","2,5"
EL4X_130.EL4X_131 wt b1,B1 - 5 - 2,gauche,Couple,Contrainte hydrique,1,5,2,130,22,191,4,2,0,,,"32,25","46,5","81,5","1,5"
EL4X_130.EL4X_131 wt b1,B1 - 5 - 2,droite,Couple,Contrainte hydrique,1,5,2,131,54,212,5,3,0,,,45,65,95,2
EL4X_376.EL4X_376 wt b1,B1 - 5 - 3,gauche,Monoculture,Contrainte hydrique,1,5,3,376,62,241,5,3,0,,,"31,5",43,"0,5",0
EL4X_376.EL4X_376 wt b1,B1 - 5 - 3,droite,Monoculture,Contrainte hydrique,1,5,3,376,42,200,5,3,0,,,"26,5","35,5","0,5",0
EL4X_165.EL4X_412 wt b1,B1 - 5 - 4,gauche,Couple,Contrainte hydrique,1,5,4,165,42,192,5,2,0,,,"35,5","67,5","66,5","2,5"
EL4X_165.EL4X_412 wt b1,B1 - 5 - 4,droite,Couple,Contrainte hydrique,1,5,4,412,55,233,4,3,0,,,40,"90,5",87,"2,5"
EL4X_118.EL4X_118 wt b1,B1 - 5 - 5,gauche,Monoculture,Contrainte hydrique,1,5,5,118,43,199,4,2,0,,,35,75,72,2
EL4X_118.EL4X_118 wt b1,B1 - 5 - 5,droite,Monoculture,Contrainte hydrique,1,5,5,118,36,171,4,3,0,,,"39,5","65,5",55,2
EL4X_131.EL4X_131 wt b1,B1 - 5 - 6,gauche,Monoculture,Contrainte hydrique,1,5,6,131,56,192,5,3,0,,,"39,5",70,87,"2,5"
EL4X_131.EL4X_131 wt b1,B1 - 5 - 6,droite,Monoculture,Contrainte hydrique,1,5,6,131,62,222,5,3,0,,,41,80,90,"2,5"
EL4X_130.EL4X_412 wt b1,B1 - 5 - 7,gauche,Couple,Contrainte hydrique,1,5,7,130,28,211,4,2,0,,,"33,5",31,0,"0,5"
EL4X_130.EL4X_412 wt b1,B1 - 5 - 7,droite,Couple,Contrainte hydrique,1,5,7,412,48,181,5,3,0,,,"27,5",34,"-2,5",0
EL4X_348.EL4X_348 wt b1,B1 - 5 - 8,gauche,Monoculture,Contrainte hydrique,1,5,8,348,31,221,4,3,0,,,"29,5",34,1,0
EL4X_348.EL4X_348 wt b1,B1 - 5 - 8,droite,Monoculture,Contrainte hydrique,1,5,8,348,41,229,4,3,0,,,31,"36,5","1,5",0
EL4X_131.EL4X_74 wt b1,B1 - 5 - 9,gauche,Couple,Contrainte hydrique,1,5,9,131,69,225,5,3,0,,,"43,75",75,"97,5",3
EL4X_131.EL4X_74 wt b1,B1 - 5 - 9,droite,Couple,Contrainte hydrique,1,5,9,74,45,226,3,3,0,,,"26,5",34,"0,5",0
EL4X_376.EL4X_235 WT b2,B2 - 1 - 1,gauche,Couple,Bien irrigue,2,1,1,376,67,215,4,3,0,,,"30,5","39,5","2,5","0,5"
EL4X_376.EL4X_235 WT b2,B2 - 1 - 1,droite,Couple,Bien irrigue,2,1,1,235,47,210,5,3,1,,,"31,75","58,5","63,5",2
EL4X_114.EL4X_376 WT b2,B2 - 1 - 2,gauche,Couple,Bien irrigue,2,1,2,114,41,217,4,4,0,,,34,"62,5",68,2
EL4X_114.EL4X_376 WT b2,B2 - 1 - 2,droite,Couple,Bien irrigue,2,1,2,376,49,235,4,3,0,,,"47,75","77,5","103,5","2,5"
EL4X_395.EL4X_114 WT b2,B2 - 1 - 3,gauche,Couple,Bien irrigue,2,1,3,395,52,181,4,3,0,,,"30,5","52,5","62,5",2
EL4X_395.EL4X_114 WT b2,B2 - 1 - 3,droite,Couple,Bien irrigue,2,1,3,114,47,200,3,2,0,,,"16,5",50,"33,5","1,5"
EL4X_165.EL4X_412 WT b2,B2 - 1 - 4,gauche,Couple,Bien irrigue,2,1,4,165,51,239,5,2,0,,,32,"47,5",0,0
EL4X_165.EL4X_412 WT b2,B2 - 1 - 4,droite,Couple,Bien irrigue,2,1,4,412,54,194,4,2,0,,,"45,5",55,57,"2,5"
EL4X_329.EL4X_395 WT b2,B2 - 1 - 5,gauche,Couple,Bien irrigue,2,1,5,329,50,NA,NA,NA,0,,,NA,NA,NA,NA
EL4X_329.EL4X_395 WT b2,B2 - 1 - 5,droite,Couple,Bien irrigue,2,1,5,395,52,161,4,3,0,,,NA,"26,5",1,0
EL4X_482.EL4X_348 WT b2,B2 - 1 - 6,gauche,Couple,Bien irrigue,2,1,6,482,49,121,4,3,0,,,NA,29,-2,"-0,5"
EL4X_482.EL4X_348 WT b2,B2 - 1 - 6,droite,Couple,Bien irrigue,2,1,6,348,50,221,4,3,0,,,"35,5","37,5","0,5",0
EL4X_114.EL4X_114 WT b2,B2 - 1 - 7,gauche,Monoculture,Bien irrigue,2,1,7,114,40,205,5,3,0,,,"34,5",65,70,2
EL4X_114.EL4X_114 WT b2,B2 - 1 - 7,droite,Monoculture,Bien irrigue,2,1,7,114,47,204,5,3,0,,,"32,75","62,5","68,5","2,5"
EL4X_348.EL4X_348 WT b2,B2 - 1 - 8,gauche,Monoculture,Bien irrigue,2,1,8,348,48,202,4,3,0,,,17,NA,0,0
EL4X_348.EL4X_348 WT b2,B2 - 1 - 8,droite,Monoculture,Bien irrigue,2,1,8,348,44,186,2,3,0,,,31,NA,-1,0
EL4X_482.EL4X_265 WT b2,B2 - 1 - 9,gauche,Couple,Bien irrigue,2,1,9,482,53,NA,NA,NA,0,,,NA,NA,NA,NA
EL4X_482.EL4X_265 WT b2,B2 - 1 - 9,droite,Couple,Bien irrigue,2,1,9,265,40,183,4,3,0,,,"16,5","36,5","-2,5",0
EL4X_89.EL4X_118 WT b2,B2 - 2 - 1,gauche,Couple,Bien irrigue,2,2,1,89,43,221,5,3,1,,,"35,25","63,5",75,"2,5"
EL4X_89.EL4X_118 WT b2,B2 - 2 - 1,droite,Couple,Bien irrigue,2,2,1,118,40,197,4,3,0,,,21,32,-1,"0,5"
EL4X_395.EL4X_395 WT b2,B2 - 2 - 2,gauche,Monoculture,Bien irrigue,2,2,2,395,52,255,3,2,0,,,"25,75","55,5","53,5",2
EL4X_395.EL4X_395 WT b2,B2 - 2 - 2,droite,Monoculture,Bien irrigue,2,2,2,395,51,231,5,3,0,,,"45,5","65,5","91,5","2,5"
EL4X_235.EL4X_235 WT b2,B2 - 2 - 3,gauche,Monoculture,Bien irrigue,2,2,3,235,40,214,4,2,0,,,52,53,71,"2,5"
