Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,RHT_rht,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulÃ.e,thallee,Biomasse_seche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1,voisin
EL4X_348.EL4X_348 WT b2,B2 - 1 - 8,droite,Monoculture,Bien irrigue,RHT,2,1,17,348,44,186,2,3,0,58,31,NA,-1,0,348
EL4X_482.EL4X_265 WT b2,B2 - 1 - 9,droite,Couple,Bien irrigue,RHT,2,1,18,265,40,183,4,3,0,67,16.5,36.5,-2.5,0,482
EL4X_89.EL4X_118 WT b2,B2 - 2 - 1,droite,Couple,Bien irrigue,RHT,2,2,10,118,40,197,4,3,0,79,21,32,-1,0.5,89
EL4X_395.EL4X_395 WT b2,B2 - 2 - 2,droite,Monoculture,Bien irrigue,rht,2,2,11,395,51,231,5,3,0,101,45.5,65.5,91.5,2.5,395
EL4X_235.EL4X_235 WT b2,B2 - 2 - 3,droite,Monoculture,Bien irrigue,rht,2,2,12,235,38,230,4,2,0,69,32.75,55.5,77,2,235
EL4X_395.EL4X_376 WT b2,B2 - 2 - 4,droite,Couple,Bien irrigue,rht,2,2,13,376,50,233,4,3,0,85,NA,33.5,1.5,0,395
EL4X_265.EL4X_348 WT b2,B2 - 2 - 7,droite,Couple,Bien irrigue,RHT,2,2,16,348,49,225,3,3,0,94,30.5,39,-0.5,0,265
EL4X_165.EL4X_130 WT b2,B2 - 2 - 8,droite,Couple,Bien irrigue,RHT,2,2,17,130,50,210,5,3,0,88,34.75,82,62,2,165
EL4X_118.EL4X_118 WT b2,B2 - 2 - 9,droite,Monoculture,Bien irrigue,RHT,2,2,18,118,50,171,4,3,0,74,26,34.5,3,-0.5,118
EL4X_118.EL4X_348 WT b2,B2 - 3 - 1,droite,Couple,Bien irrigue,RHT,2,3,10,348,42,228,4,3,0,92,29.5,41,-0.5,0,118
EL4X_165.EL4X_131 WT b2,B2 - 3 - 2,droite,Couple,Bien irrigue,RHT,2,3,11,131,56,249,5,3,0,89,70.5,58.5,88.5,2.5,165
EL4X_114.EL4X_235 WT b2,B2 - 3 - 3,droite,Couple,Bien irrigue,rht,2,3,12,235,41,245,5,2,0,78,34.5,60.5,81.5,2.5,114
EL4X_130.EL4X_412 WT b2,B2 - 3 - 4,droite,Couple,Bien irrigue,RHT,2,3,13,412,47,214,4,3,0,80,33.5,32,0.5,0,130
EL4X_482.EL4X_118 WT b2,B2 - 3 - 5,droite,Couple,Bien irrigue,RHT,2,3,14,118,44,217,4,2,0,67,33.5,29,-13,-0.5,482
EL4X_89.EL4X_265 WT b2,B2 - 3 - 6,droite,Couple,Bien irrigue,RHT,2,3,15,265,41,235,4,2,0,69,27.5,37.5,12.5,0.5,89
