Couple,Position,Position_pots,Monoculture_Couple,Condition_hydrique,RHT_rht,Bloc,Colonne,Ligne,plante_genotype,poids_graine,Longueur_feuille_2,Largeur_feuille_2,Nombre_de_feuille_ligulÃ.e,thallee,Biomasse_seche,vitesse_coleoptile_feuille_1,vitesse_coleoptile_feuille_2,vitesse_longueur_f1,vitesse_largeur_f1,voisin
EL4X_114.EL4X_114 WT b2,B2 - 1 - 7,gauche,Monoculture,Bien irrigue,rht,2,1,16,114,40,205,5,3,0,71,34.5,65,70,2,114
EL4X_348.EL4X_348 WT b2,B2 - 1 - 8,gauche,Monoculture,Bien irrigue,RHT,2,1,17,348,48,202,4,3,0,90,17,NA,0,0,348
EL4X_482.EL4X_265 WT b2,B2 - 1 - 9,gauche,Couple,Bien irrigue,rht,2,1,18,482,53,NA,NA,NA,0,NA,NA,NA,NA,NA,265
EL4X_89.EL4X_118 WT b2,B2 - 2 - 1,gauche,Couple,Bien irrigue,rht,2,2,10,89,43,221,5,3,1,81,35.25,63.5,75,2.5,118
EL4X_395.EL4X_395 WT b2,B2 - 2 - 2,gauche,Monoculture,Bien irrigue,rht,2,2,11,395,52,255,3,2,0,61,25.75,55.5,53.5,2,395
EL4X_235.EL4X_235 WT b2,B2 - 2 - 3,gauche,Monoculture,Bien irrigue,rht,2,2,12,235,40,214,4,2,0,77,52,53,71,2.5,235
EL4X_395.EL4X_376 WT b2,B2 - 2 - 4,gauche,Couple,Bien irrigue,rht,2,2,13,395,45,251,4,2,0,66,28.5,61.5,55,2,376
EL4X_329.EL4X_376 WT b2,B2 - 2 - 5,gauche,Couple,Bien irrigue,rht,2,2,14,329,50,199,3,3,0,92,26,38.5,-1.5,0.5,376
EL4X_130.EL4X_131 WT b2,B2 - 2 - 6,gauche,Couple,Bien irrigue,RHT,2,2,15,130,41,229,3,3,0,78,29,41.5,2,0,131
EL4X_265.EL4X_348 WT b2,B2 - 2 - 7,gauche,Couple,Bien irrigue,RHT,2,2,16,265,48,224,4,3,0,84,28,36,0,0,348
EL4X_165.EL4X_130 WT b2,B2 - 2 - 8,gauche,Couple,Bien irrigue,RHT,2,2,17,165,47,195,4,2,0,54,41.25,62.5,65.5,2,130
EL4X_118.EL4X_118 WT b2,B2 - 2 - 9,gauche,Monoculture,Bien irrigue,RHT,2,2,18,118,34,231,5,3,0,87,26.5,55,16,0,118
EL4X_118.EL4X_348 WT b2,B2 - 3 - 1,gauche,Couple,Bien irrigue,RHT,2,3,10,118,30,188,4,2,0,65,21.5,26.5,0,0.5,348
EL4X_165.EL4X_131 WT b2,B2 - 3 - 2,gauche,Couple,Bien irrigue,RHT,2,3,11,165,48,215,5,3,0,105,32,37,-1,0,131
EL4X_114.EL4X_235 WT b2,B2 - 3 - 3,gauche,Couple,Bien irrigue,rht,2,3,12,114,43,203,4,2,0,53,26,58.5,61.5,2.5,235
EL4X_130.EL4X_412 WT b2,B2 - 3 - 4,gauche,Couple,Bien irrigue,RHT,2,3,13,130,45,155,2,3,0,67,20,32,-0.5,0,412
EL4X_482.EL4X_118 WT b2,B2 - 3 - 5,gauche,Couple,Bien irrigue,rht,2,3,14,482,46,194,5,3,1,84,30,22,-8,0.5,118
EL4X_89.EL4X_265 WT b2,B2 - 3 - 6,gauche,Couple,Bien irrigue,rht,2,3,15,89,48,226,5,3,0,95,25.5,63,9.5,0.5,265
EL4X_412.EL4X_412 WT b2,B2 - 3 - 7,gauche,Monoculture,Bien irrigue,RHT,2,3,16,412,63,209,5,3,0,85,30,25,-0.5,0,412
EL4X_131.EL4X_74 WT b2,B2 - 3 - 8,gauche,Couple,Bien irrigue,RHT,2,3,17,131,51,211,5,3,0,91,29,39,0,0,74
EL4X_482.EL4X_482 WT b2,B2 - 3 - 9,gauche,Monoculture,Bien irrigue,rht,2,3,18,482,53,192,4,3,0,55,45,69.5,47,2,482
EL4X_165.EL4X_165 WT b2,B2 - 4 - 1,gauche,Monoculture,Bien irrigue,RHT,2,4,10,165,50,214,3,3,0,77,29,31,16,-0.5,165
EL4X_130.EL4X_74 WT b2,B2 - 4 - 2,gauche,Couple,Bien irrigue,RHT,2,4,11,130,61,191,4,3,0,87,26,37.5,-0.5,0,74
EL4X_265.EL4X_265 WT b2,B2 - 4 - 3,gauche,Monoculture,Bien irrigue,RHT,2,4,12,265,39,184,3,3,0,62,19.5,31,-1.5,0,265
EL4X_130.EL4X_130 WT b2,B2 - 4 - 4,gauche,Monoculture,Bien irrigue,RHT,2,4,13,130,44,205,4,3,0,76,31.5,28,-2,0,130
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,gauche,Couple,Bien irrigue,rht,2,4,14,329,55,227,5,2,0,70,23.5,12,16.5,0,235
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,gauche,Monoculture,Bien irrigue,RHT,2,4,15,74,48,215,4,3,0,86,25,26,-1,0,74
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,gauche,Couple,Bien irrigue,rht,2,4,16,329,47,189,5,3,0,71,19,42.5,-1,0,114
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,gauche,Monoculture,Bien irrigue,rht,2,4,17,329,50,195,4,3,0,80,23.5,41,-0.5,0,329
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,gauche,Monoculture,Bien irrigue,rht,2,4,18,376,48,244,5,3,0,77,40,29.5,11.5,0.5,376
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,gauche,Couple,Bien irrigue,RHT,2,5,10,412,56,188,4,3,0,101,22.5,36,8,0.5,74
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,gauche,Couple,Bien irrigue,RHT,2,5,11,165,49,245,4,3,0,69,27.25,81.5,NA,NA,74
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,gauche,Couple,Bien irrigue,RHT,2,5,12,412,56,142,2,2,0,69,31.5,39.5,32,1.5,131
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,gauche,Couple,Bien irrigue,RHT,2,5,15,265,48,203,4,3,0,79,45.5,65.5,62.5,2,118
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,gauche,Monoculture,Bien irrigue,RHT,2,5,16,131,32,210,5,3,0,108,43.25,NA,4.5,0.5,131
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,gauche,Couple,Bien irrigue,rht,2,5,17,89,46,269,6,2,0,91,27.5,31.5,3.5,-0.5,482
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,gauche,Monoculture,Bien irrigue,rht,2,5,18,89,41,254,6,2,1,53,28.5,33.5,-1.5,0.5,89
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,gauche,Monoculture,Contrainte hydrique,RHT,3,6,1,131,54,186,5,3,0,108,38.75,64,80.5,2.5,131
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,gauche,Monoculture,Contrainte hydrique,RHT,3,6,2,412,49,210,4,3,0,3,33,67,60.5,2.5,412
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,gauche,Couple,Contrainte hydrique,rht,3,6,3,329,50,170,4,3,0,73,22,34.5,-8,0,376
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,gauche,Couple,Contrainte hydrique,rht,3,6,4,89,48,184,5,2,1,80,43.5,4,57,2.5,118
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,gauche,Couple,Contrainte hydrique,rht,3,6,5,329,57,209,5,3,0,99,20.5,40.5,0.5,0.5,114
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,gauche,Monoculture,Contrainte hydrique,RHT,3,6,6,74,38,222,4,3,0,92,28,32.5,-11.5,0.5,74
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,gauche,Couple,Contrainte hydrique,rht,3,6,7,329,58,186,5,3,0,77,24.5,44.5,-0.5,0,395
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,gauche,Monoculture,Contrainte hydrique,RHT,3,6,8,265,48,223,3,3,0,76,28,33,0,-0.5,265
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,gauche,Couple,Contrainte hydrique,RHT,3,6,9,165,49,208,5,3,0,79,25,30,5.5,0,130
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,gauche,Couple,Contrainte hydrique,RHT,3,7,1,131,63,216,4,3,0,80,37.5,57,79,2,74
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,gauche,Monoculture,Contrainte hydrique,rht,3,7,2,395,47,280,5,3,0,86,42.75,67,82,2.5,395
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,gauche,Monoculture,Contrainte hydrique,rht,3,7,3,89,46,231,5,3,1,91,26.5,35.5,33,1,89
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,gauche,Couple,Contrainte hydrique,rht,3,7,4,482,53,213,3,3,0,57,22,37,-1,0,118
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,gauche,Couple,Contrainte hydrique,rht,3,7,5,482,43,NA,NA,NA,0,NA,2.5,NA,NA,NA,348
EL4X_130.EL4X_412 wt b3,B3 - 2 - 6,gauche,Couple,Contrainte hydrique,RHT,3,7,6,130,48,198,4,3,0,95,31.5,25,2,0.5,412
EL4X_89.EL4X_348 wt b3,B3 - 2 - 7,gauche,Couple,Contrainte hydrique,rht,3,7,7,89,46,217,5,3,0,82,27,NA,NA,NA,348
EL4X_130.EL4X_74 wt b3,B3 - 3 - 1,gauche,Couple,Contrainte hydrique,RHT,3,8,1,130,45,207,4,3,0,81,37.5,41.5,3.5,0.5,74
EL4X_482.EL4X_482 wt b3,B3 - 3 - 2,gauche,Monoculture,Contrainte hydrique,rht,3,8,2,482,49,195,3,3,0,53,22,33,-0.5,0,482
EL4X_165.EL4X_412 wt b3,B3 - 3 - 3,gauche,Couple,Contrainte hydrique,RHT,3,8,3,165,49,220,4,3,0,72,34.75,85,74,2,412
EL4X_376.EL4X_376 wt b3,B3 - 3 - 4,gauche,Monoculture,Contrainte hydrique,rht,3,8,4,376,57,240,5,3,0,112,41.5,22,0,0,376
EL4X_114.EL4X_235 wt b3,B3 - 3 - 5,gauche,Couple,Contrainte hydrique,rht,3,8,5,114,42,214,5,3,0,82,41.75,67,84,2.5,235
EL4X_395.EL4X_114 wt b3,B3 - 3 - 6,gauche,Couple,Contrainte hydrique,rht,3,8,6,395,40,219,3,2,0,38,17.83333333,NA,NA,NA,114
EL4X_265.EL4X_118 wt b3,B3 - 3 - 7,gauche,Couple,Contrainte hydrique,RHT,3,8,7,265,48,226,4,2,0,76,26,25.5,4,-0.5,118
EL4X_118.EL4X_118 wt b3,B3 - 3 - 8,gauche,Monoculture,Contrainte hydrique,RHT,3,8,8,118,25,201,4,2,0,NA,30,40,72.5,2,118
EL4X_395.EL4X_376 wt b3,B3 - 3 - 9,gauche,Couple,Contrainte hydrique,rht,3,8,9,395,54,205,3,2,0,30,17.5,30.5,32.5,1.5,376
EL4X_482.EL4X_265 wt b3,B3 - 4 - 1,gauche,Couple,Contrainte hydrique,rht,3,9,1,482,50,215,4,3,0,97,51.5,85.5,64,2.5,265
EL4X_412.EL4X_74 wt b3,B3 - 4 - 2,gauche,Couple,Contrainte hydrique,RHT,3,9,2,412,50,186,4,2,0,66,30.75,65,52,2,74
EL4X_412.EL4X_131 wt b3,B3 - 4 - 3,gauche,Couple,Contrainte hydrique,RHT,3,9,3,412,66,199,4,3,0,96,25,41.5,1,-0.5,131
EL4X_395.EL4X_235 wt b3,B3 - 4 - 4,gauche,Couple,Contrainte hydrique,rht,3,9,4,395,51,NA,NA,NA,0,NA,NA,NA,NA,NA,235
EL4X_376.EL4X_235 wt b3,B3 - 4 - 5,gauche,Couple,Contrainte hydrique,rht,3,9,5,376,37,241,5,3,0,79,38,34.5,-3,0,235
EL4X_265.EL4X_348 wt b3,B3 - 4 - 6,gauche,Couple,Contrainte hydrique,RHT,3,9,6,265,45,160,4,2,0,60,NA,NA,NA,NA,348
EL4X_130.EL4X_130 wt b3,B3 - 4 - 7,gauche,Monoculture,Contrainte hydrique,RHT,3,9,7,130,44,215,4,3,0,65,32.5,34.5,3,0.5,130
EL4X_329.EL4X_329 wt b3,B3 - 5 - 1,gauche,Monoculture,Contrainte hydrique,rht,3,10,1,329,48,201,4,3,0,92,23,40,-0.5,-0.5,329
EL4X_114.EL4X_376 wt b3,B3 - 5 - 2,gauche,Couple,Contrainte hydrique,rht,3,10,2,114,40,213,4,2,0,65,27,NA,NA,NA,376
EL4X_89.EL4X_482 wt b3,B3 - 5 - 3,gauche,Couple,Contrainte hydrique,rht,3,10,3,89,45,211,4,3,0,67,30.75,67,65,2,482
EL4X_89.EL4X_265 wt b3,B3 - 5 - 4,gauche,Couple,Contrainte hydrique,rht,3,10,4,89,46,200,4,3,0,51,17.66666667,NA,NA,NA,265
EL4X_235.EL4X_235 wt b3,B3 - 5 - 5,gauche,Monoculture,Contrainte hydrique,rht,3,10,5,235,44,224,5,2,0,94,28,28.5,-3,-0.5,235
EL4X_114.EL4X_114 wt b3,B3 - 5 - 6,gauche,Monoculture,Contrainte hydrique,rht,3,10,6,114,43,222,3,2,0,47,22.5,46.5,47,1,114
EL4X_165.EL4X_131 wt b3,B3 - 5 - 7,gauche,Couple,Contrainte hydrique,RHT,3,10,7,165,54,231,5,2,0,75,35,35.5,0,0,131
EL4X_348.EL4X_348 wt b3,B3 - 5 - 8,gauche,Monoculture,Contrainte hydrique,RHT,3,10,8,348,47,205,4,3,0,89,27.5,28,0,0,348
EL4X_329.EL4X_395 WT b4,B4 - 1 - 2,gauche,Couple,Bien irrigue,rht,4,6,11,329,51,240,4,3,0,74,38.25,72.5,62.5,2,395
EL4X_89.EL4X_89 WT b4,B4 - 1 - 3,gauche,Monoculture,Bien irrigue,rht,4,6,12,89,41,229,5,3,1,109,28.5,21.5,8,0.5,89
EL4X_395.EL4X_114 WT b4,B4 - 1 - 4,gauche,Couple,Bien irrigue,rht,4,6,13,395,51,208,3,2,0,50,13.5,60,67.5,2,114
EL4X_395.EL4X_395 WT b4,B4 - 1 - 5,gauche,Monoculture,Bien irrigue,rht,4,6,14,395,49,208,3,2,0,27,22.5,48.5,47.5,1.5,395
EL4X_412.EL4X_131 WT b4,B4 - 1 - 6,gauche,Couple,Bien irrigue,RHT,4,6,15,412,48,193,4,2,0,43,26.25,56.5,51,2,131
EL4X_130.EL4X_131 WT b4,B4 - 1 - 7,gauche,Couple,Bien irrigue,RHT,4,6,16,130,31,184,3,3,0,49,27.5,29.5,0.5,0,131
EL4X_265.EL4X_348 WT b4,B4 - 1 - 8,gauche,Couple,Bien irrigue,RHT,4,6,17,265,38,217,4,3,0,43,29.5,34,-0.5,0,348
EL4X_118.EL4X_118 WT b4,B4 - 1 - 9,gauche,Monoculture,Bien irrigue,RHT,4,6,18,118,41,185,5,3,0,75,27.5,25,2,0,118
EL4X_165.EL4X_130 WT b4,B4 - 2 - 1,gauche,Couple,Bien irrigue,RHT,4,7,10,165,47,65,2,2,0,16,NA,NA,NA,NA,130
EL4X_329.EL4X_376 WT b4,B4 - 2 - 2,gauche,Couple,Bien irrigue,rht,4,7,11,329,58,216,4,2,0,57,NA,66,46.5,2,376
EL4X_131.EL4X_131 WT b4,B4 - 2 - 7,gauche,Monoculture,Bien irrigue,RHT,4,7,16,131,45,238,4,2,0,76,36.5,48,78.5,2,131
EL4X_74.EL4X_74 WT b4,B4 - 2 - 8,gauche,Monoculture,Bien irrigue,RHT,4,7,17,74,41,199,4,3,0,95,27.5,35,0,0.5,74
EL4X_114.EL4X_376 WT b4,B4 - 2 - 9,gauche,Couple,Bien irrigue,rht,4,7,18,114,45,213,5,3,0,75,37,66.5,72.5,2,376
EL4X_482.EL4X_482 WT b4,B4 - 3 - 1,gauche,Monoculture,Bien irrigue,rht,4,8,10,482,45,227,4,3,0,81,32,34.5,1,0.5,482
EL4X_89.EL4X_482 WT b4,B4 - 3 - 2,gauche,Couple,Bien irrigue,rht,4,8,11,89,41,210,3,3,0,58,29.5,24,-4.5,0,482
EL4X_89.EL4X_118 WT b4,B4 - 3 - 3,gauche,Couple,Bien irrigue,rht,4,8,12,89,42,199,5,3,0,92,39,75.5,80,2.5,118
EL4X_235.EL4X_235 WT b4,B4 - 3 - 4,gauche,Monoculture,Bien irrigue,rht,4,8,13,235,41,227,5,2,0,87,38,70.5,79,2.5,235
EL4X_265.EL4X_118 WT b4,B4 - 3 - 5,gauche,Couple,Bien irrigue,RHT,4,8,14,265,41,124,3,3,0,40,NA,35,-2.5,0,118
EL4X_165.EL4X_131 WT b4,B4 - 3 - 6,gauche,Couple,Bien irrigue,RHT,4,8,15,165,49,198,3,3,0,65,25.5,36.5,-1.5,0,131
EL4X_118.EL4X_348 WT b4,B4 - 3 - 7,gauche,Couple,Bien irrigue,RHT,4,8,16,118,43,202,4,3,0,69,32.25,82.5,65,2.5,348
EL4X_89.EL4X_348 WT b4,B4 - 3 - 8,gauche,Couple,Bien irrigue,rht,4,8,17,89,48,186,3,2,0,46,25,52.5,50,2,348
EL4X_130.EL4X_130 WT b4,B4 - 3 - 9,gauche,Monoculture,Bien irrigue,RHT,4,8,18,130,41,195,4,3,0,71,38.25,68.5,85,2.5,130
EL4X_482.EL4X_118 WT b4,B4 - 4 - 3,gauche,Couple,Bien irrigue,rht,4,9,12,482,45,213,4,3,0,84,NA,45.5,0,-0.5,118
EL4X_329.EL4X_114 WT b4,B4 - 4 - 4,gauche,Couple,Bien irrigue,rht,4,9,13,329,53,181,5,3,0,76,23.5,39.5,1,0.5,114
EL4X_482.EL4X_348 WT b4,B4 - 4 - 5,gauche,Couple,Bien irrigue,rht,4,9,14,482,52,224,5,3,0,94,30.5,36.5,1,-0.5,348
EL4X_376.EL4X_235 WT b4,B4 - 4 - 6,gauche,Couple,Bien irrigue,rht,4,9,15,376,58,201,4,3,0,114,31,39,-2,0,235
EL4X_348.EL4X_348 WT b4,B4 - 4 - 7,gauche,Monoculture,Bien irrigue,RHT,4,9,16,348,49,215,4,3,0,78,29,37,0,-0.5,348
EL4X_412.EL4X_74 WT b4,B4 - 4 - 8,gauche,Couple,Bien irrigue,RHT,4,9,17,412,55,186,5,2,0,71,27.25,56.5,41.5,2,74
EL4X_114.EL4X_114 WT b4,B4 - 4 - 9,gauche,Monoculture,Bien irrigue,rht,4,9,18,114,43,204,4,3,0,60,31,75,50,2,114
EL4X_376.EL4X_376 WT b4,B4 - 5 - 1,gauche,Monoculture,Bien irrigue,rht,4,10,10,376,45,218,5,3,0,89,32,32.5,-1,0,376
EL4X_165.EL4X_165 WT b4,B4 - 5 - 2,gauche,Monoculture,Bien irrigue,RHT,4,10,11,165,47,175,3,3,0,80,23.5,26,1.5,0,165
EL4X_265.EL4X_265 WT b4,B4 - 5 - 3,gauche,Monoculture,Bien irrigue,RHT,4,10,12,265,47,229,4,3,0,72,27.5,34.5,6,0,265
EL4X_395.EL4X_376 WT b4,B4 - 5 - 4,gauche,Couple,Bien irrigue,rht,4,10,13,395,47,211,4,2,0,53,20.33333333,NA,NA,NA,376
EL4X_412.EL4X_412 WT b4,B4 - 5 - 5,gauche,Monoculture,Bien irrigue,RHT,4,10,14,412,49,181,5,2,0,55,26,59,42.5,2,412
EL4X_114.EL4X_235 WT b4,B4 - 5 - 6,gauche,Couple,Bien irrigue,rht,4,10,15,114,44,202,5,3,0,84,39.5,60,81,2,235
EL4X_165.EL4X_412 WT b4,B4 - 5 - 7,gauche,Couple,Bien irrigue,RHT,4,10,16,165,43,NA,NA,NA,0,NA,NA,NA,NA,NA,412
EL4X_130.EL4X_74 WT b4,B4 - 5 - 8,gauche,Couple,Bien irrigue,RHT,4,10,17,130,21,186,4,3,0,44,32,51.5,65,2,74
EL4X_89.EL4X_265 WT b4,B4 - 5 - 9,gauche,Couple,Bien irrigue,rht,4,10,18,89,45,201,4,3,1,71,34.75,60,62.5,2,265
EL4X_329.EL4X_395 wt b5,B5 - 1 - 1,gauche,Monoculture,Contrainte hydrique,rht,5,11,1,329,43,207,4,3,0,96,25,38,2.5,-1,395
EL4X_130.EL4X_130 wt b5,B5 - 1 - 2,gauche,Monoculture,Contrainte hydrique,RHT,5,11,2,130,35,214,4,3,0,95,29,27,0.5,0,130
EL4X_89.EL4X_118 wt b5,B5 - 1 - 3,gauche,Couple,Contrainte hydrique,rht,5,11,3,89,48,253,5,2,1,108,40,76,79.5,2.5,118
EL4X_165.EL4X_165 wt b5,B5 - 1 - 4,gauche,Monoculture,Contrainte hydrique,RHT,5,11,4,165,44,222,4,3,0,68,28,28.5,3,0,165
EL4X_165.EL4X_131 wt b5,B5 - 1 - 5,gauche,Couple,Contrainte hydrique,RHT,5,11,5,165,43,219,4,3,0,83,18.25,78,74,2,131
EL4X_114.EL4X_235 wt b5,B5 - 1 - 6,gauche,Couple,Contrainte hydrique,rht,5,11,6,114,40,235,4,2,0,58,-3.5,NA,NA,NA,235
EL4X_89.EL4X_482 wt b5,B5 - 1 - 7,gauche,Couple,Contrainte hydrique,rht,5,11,7,89,45,220,5,3,0,85,36.5,74.5,72.5,2,482
EL4X_235.EL4X_235 wt b5,B5 - 1 - 8,gauche,Monoculture,Contrainte hydrique,rht,5,11,8,235,47,240,5,2,0,59,31.75,45.5,74,2.5,235
EL4X_89.EL4X_265 wt b5,B5 - 1 - 9,gauche,Couple,Contrainte hydrique,rht,5,11,9,89,43,216,4,3,0,93,32,NA,-2.5,-0.5,265
EL4X_165.EL4X_412 wt b5,B5 - 2 - 1,gauche,Couple,Contrainte hydrique,RHT,5,12,1,165,42,207,3,3,0,65,37.25,74.5,77,2,412
EL4X_265.EL4X_265 wt b5,B5 - 2 - 2,gauche,Monoculture,Contrainte hydrique,RHT,5,12,2,265,38,223,2,2,0,51,19,29,0.5,0,265
EL4X_165.EL4X_130 wt b5,B5 - 2 - 3,gauche,Couple,Contrainte hydrique,RHT,5,12,3,165,51,240,4,2,0,77,27,39,0.5,-0.5,130
EL4X_130.EL4X_74 wt b5,B5 - 2 - 4,gauche,Couple,Contrainte hydrique,RHT,5,12,4,130,47,220,4,3,0,77,23,33.5,0,0,74
EL4X_74.EL4X_74 wt b5,B5 - 2 - 5,gauche,Monoculture,Contrainte hydrique,RHT,5,12,5,74,48,175,3,3,0,88,30.5,30.5,-3,-0.5,74
EL4X_131.EL4X_74 wt b5,B5 - 2 - 6,gauche,Couple,Contrainte hydrique,RHT,5,12,6,131,62,206,4,2,0,59,28.5,51,65.5,2,74
EL4X_265.EL4X_118 wt b5,B5 - 2 - 7,gauche,Couple,Contrainte hydrique,RHT,5,12,7,265,48,255,4,2,0,66,27,45.5,-1,0,118
EL4X_89.EL4X_348 wt b5,B5 - 2 - 8,gauche,Couple,Contrainte hydrique,rht,5,12,8,89,40,210,4,3,0,78,23,37.5,-7.5,0.5,348
EL4X_412.EL4X_131 wt b5,B5 - 2 - 9,gauche,Couple,Contrainte hydrique,RHT,5,12,9,412,53,NA,NA,NA,0,NA,NA,NA,NA,NA,131
EL4X_130.EL4X_131 wt b5,B5 - 3 - 1,gauche,Couple,Contrainte hydrique,RHT,5,13,1,130,43,172,4,3,0,72,34.25,54.5,62,2,131
EL4X_482.EL4X_348 wt b5,B5 - 3 - 2,gauche,Couple,Contrainte hydrique,rht,5,13,2,482,52,223,4,3,0,90,25,44,0,0,348
EL4X_482.EL4X_265 wt b5,B5 - 3 - 3,gauche,Couple,Contrainte hydrique,rht,5,13,3,482,50,233,4,3,1,87,27,40.5,1.5,0.5,265
EL4X_395.EL4X_114 wt b5,B5 - 3 - 4,gauche,Couple,Contrainte hydrique,rht,5,13,4,395,52,245,4,3,0,80,25,39,2,0,114
EL4X_329.EL4X_376 wt b5,B5 - 3 - 5,gauche,Couple,Contrainte hydrique,rht,5,13,5,329,52,122,3,3,0,26,17.25,30,37,1.5,376
EL4X_130.EL4X_412 wt b5,B5 - 3 - 6,gauche,Couple,Contrainte hydrique,RHT,5,13,6,130,40,191,4,3,0,75,35.25,62.5,75.5,2,412
EL4X_376.EL4X_376 wt b5,B5 - 3 - 7,gauche,Monoculture,Contrainte hydrique,rht,5,13,7,376,62,215,4,3,0,89,31,33,0,-0.5,376
EL4X_376.EL4X_235 wt b5,B5 - 3 - 8,gauche,Couple,Contrainte hydrique,rht,5,13,8,376,52,225,4,2,0,67,53,52.5,65,2,235
EL4X_131.EL4X_131 wt b5,B5 - 3 - 9,gauche,Monoculture,Contrainte hydrique,RHT,5,13,9,131,57,200,5,2,0,75,30,44.5,72.5,2.5,131
EL4X_118.EL4X_118 wt b5,B5 - 4 - 1,gauche,Monoculture,Contrainte hydrique,RHT,5,14,1,118,35,199,4,2,0,66,22.5,31,2,-0.5,118
EL4X_165.EL4X_74 wt b5,B5 - 4 - 2,gauche,Couple,Contrainte hydrique,RHT,5,14,2,165,47,NA,NA,NA,0,NA,NA,NA,NA,NA,74
EL4X_114.EL4X_114 wt b5,B5 - 4 - 3,gauche,Monoculture,Contrainte hydrique,rht,5,14,3,114,39,208,4,2,0,54,NA,27,9,0,114
EL4X_482.EL4X_482 wt b5,B5 - 4 - 4,gauche,Monoculture,Contrainte hydrique,rht,5,14,4,482,51,216,3,2,0,51,24.5,23,0.5,0.5,482
EL4X_329.EL4X_329 wt b5,B5 - 4 - 5,gauche,Monoculture,Contrainte hydrique,rht,5,14,5,329,52,201,5,3,0,87,30,31.5,2,0,329
EL4X_114.EL4X_376 wt b5,B5 - 4 - 6,gauche,Couple,Contrainte hydrique,rht,5,14,6,114,39,222,5,3,0,78,39,68,82.5,2.5,376
EL4X_118.EL4X_348 wt b5,B5 - 4 - 7,gauche,Couple,Contrainte hydrique,RHT,5,14,7,118,35,213,4,2,0,50,20.5,28.5,-0.5,0,348
EL4X_482.EL4X_118 wt b5,B5 - 4 - 8,gauche,Couple,Contrainte hydrique,rht,5,14,8,482,49,226,4,3,0,71,30,34,2,-1,118
EL4X_412.EL4X_412 wt b5,B5 - 4 - 9,gauche,Monoculture,Contrainte hydrique,RHT,5,14,9,412,46,191,4,2,0,NA,42.5,55.5,51,1.5,412
EL4X_395.EL4X_235 wt b5,B5 - 5 - 1,gauche,Couple,Contrainte hydrique,rht,5,15,1,395,45,NA,NA,NA,0,NA,NA,NA,NA,NA,235
EL4X_348.EL4X_348 wt b5,B5 - 5 - 2,gauche,Monoculture,Contrainte hydrique,RHT,5,15,2,348,42,176,2,3,0,41,12,25.5,1.5,-0.5,348
EL4X_412.EL4X_74 wt b5,B5 - 5 - 3,gauche,Couple,Contrainte hydrique,RHT,5,15,3,412,47,191,4,2,0,62,40.5,51,55,2,74
EL4X_329.EL4X_114 wt b5,B5 - 5 - 4,gauche,Couple,Contrainte hydrique,rht,5,15,4,329,54,199,5,3,0,97,25,40.5,-25.5,0,114
EL4X_395.EL4X_376 wt b5,B5 - 5 - 5,gauche,Couple,Contrainte hydrique,rht,5,15,5,395,54,227,4,3,0,98,43.25,73,80.5,2,376
EL4X_89.EL4X_89 wt b5,B5 - 5 - 6,gauche,Monoculture,Contrainte hydrique,rht,5,15,6,89,43,197,4,3,0,69,48,60.5,55.5,2,89
EL4X_395.EL4X_395 wt b5,B5 - 5 - 7,gauche,Monoculture,Contrainte hydrique,rht,5,15,7,395,50,219,5,3,0,95,40.75,72.5,82.5,2,395
EL4X_329.EL4X_235 wt b5,B5 - 5 - 8,gauche,Couple,Contrainte hydrique,rht,5,15,8,329,55,189,4,3,0,81,31,70.5,49.5,2,235
EL4X_265.EL4X_348 wt b5,B5 - 5 - 9,gauche,Couple,Contrainte hydrique,RHT,5,15,9,265,41,233,4,2,0,74,26,30,-3,0.5,348
EL4X_89.EL4X_265 WT b6,B6 - 1 - 1,gauche,Couple,Bien irrigue,rht,6,11,10,89,43,205,5,3,0,67,34.5,58.5,65.5,2,265
