Couple,Position,Monoculture_Couple,Condition_hydrique,Bloc,Colonne,Ligne,Position_pots,plante_genotype,poids_graine,Longueur_feuille_1,Largueur_feuille_1,taille_coleotile_feuille_1,taille_coleotile_feuille_2
EL4X_329.EL4X_235 WT b2,B2 - 4 - 5,Couple,Bien irrigue,2,4,5,droite,235,44,0,0,163,0
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,Monoculture,Bien irrigue,2,4,6,gauche,74,48,140,4,NA,150
EL4X_74.EL4X_74 WT b2,B2 - 4 - 6,Monoculture,Bien irrigue,2,4,6,droite,74,47,130,4,NA,155
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,Couple,Bien irrigue,2,4,7,gauche,329,47,88,4,NA,95
EL4X_329.EL4X_114 WT b2,B2 - 4 - 7,Couple,Bien irrigue,2,4,7,droite,114,40,0,0,150,0
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,Monoculture,Bien irrigue,2,4,8,gauche,329,50,101,5,NA,108
EL4X_329.EL4X_329 WT b2,B2 - 4 - 8,Monoculture,Bien irrigue,2,4,8,droite,329,53,86,4,NA,92
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,Monoculture,Bien irrigue,2,4,9,gauche,376,48,165,4,NA,87
EL4X_376.EL4X_376 WT b2,B2 - 4 - 9,Monoculture,Bien irrigue,2,4,9,droite,376,48,190,5,NA,90
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,Couple,Bien irrigue,2,5,1,gauche,412,56,123,5,NA,94
EL4X_412.EL4X_74 WT b2,B2 - 5 - 1,Couple,Bien irrigue,2,5,1,droite,74,44,103,4,NA,160
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,Couple,Bien irrigue,2,5,2,gauche,165,49,0,0,110,0
EL4X_165.EL4X_74 WT b2,B2 - 5 - 2,Couple,Bien irrigue,2,5,2,droite,74,41,148,4,NA,132
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,Couple,Bien irrigue,2,5,3,gauche,412,56,0,0,64,0
EL4X_412.EL4X_131 WT b2,B2 - 5 - 3,Couple,Bien irrigue,2,5,3,droite,131,45,0,0,185,0
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,Couple,Bien irrigue,2,5,4,gauche,395,45,0,0,10,0
EL4X_395.EL4X_235 WT b2,B2 - 5 - 4,Couple,Bien irrigue,2,5,4,droite,235,43,0,0,130,0
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,Couple,Bien irrigue,2,5,5,gauche,89,43,145,5,132,114
EL4X_89.EL4X_348 WT b2,B2 - 5 - 5,Couple,Bien irrigue,2,5,5,droite,348,51,0,0,NA,0
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,Couple,Bien irrigue,2,5,6,gauche,265,48,0,0,117,0
EL4X_265.EL4X_118 WT b2,B2 - 5 - 6,Couple,Bien irrigue,2,5,6,droite,118,NA,0,0,171,0
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,Monoculture,Bien irrigue,2,5,7,gauche,131,32,174,4,219,NA
EL4X_131.EL4X_131 WT b2,B2 - 5 - 7,Monoculture,Bien irrigue,2,5,7,droite,131,60,0,0,217,74
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,Couple,Bien irrigue,2,5,8,gauche,89,46,144,5,NA,118
EL4X_89.EL4X_482 WT b2,B2 - 5 - 8,Couple,Bien irrigue,2,5,8,droite,482,52,174,4,NA,170
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,Monoculture,Bien irrigue,2,5,9,gauche,89,41,160,4,NA,85
EL4X_89.EL4X_89 WT b2,B2 - 5 - 9,Monoculture,Bien irrigue,2,5,9,droite,89,42,90,5,NA,130
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,Monoculture,Contraite hydrique,3,1,1,gauche,131,54,0,0,190,0
EL4X_131.EL4X_131 wt b3,B3 - 1 - 1,Monoculture,Contraite hydrique,3,1,1,droite,131,47,0,0,152,0
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,Monoculture,Contraite hydrique,3,1,2,gauche,412,49,0,0,133,0
EL4X_412.EL4X_412 wt b3,B3 - 1 - 2,Monoculture,Contraite hydrique,3,1,2,droite,412,63,0,0,140,0
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,Couple,Contraite hydrique,3,1,3,gauche,329,50,100,4,NA,102
EL4X_329.EL4X_376 wt b3,B3 - 1 - 3,Couple,Contraite hydrique,3,1,3,droite,376,55,93,4,NA,90
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,Couple,Contraite hydrique,3,1,4,gauche,89,48,0,0,122,0
EL4X_89.EL4X_118 wt b3,B3 - 1 - 4,Couple,Contraite hydrique,3,1,4,droite,118,32,0,0,181,0
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,Couple,Contraite hydrique,3,1,5,gauche,329,57,110,4,NA,145
EL4X_329.EL4X_114 wt b3,B3 - 1 - 5,Couple,Contraite hydrique,3,1,5,droite,114,41,0,0,115,0
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,Monoculture,Contraite hydrique,3,1,6,gauche,74,38,130,4,NA,160
EL4X_74.EL4X_74 wt b3,B3 - 1 - 6,Monoculture,Contraite hydrique,3,1,6,droite,74,45,0,0,NA,156
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,Couple,Contraite hydrique,3,1,7,gauche,329,58,105,4,NA,122
EL4X_329.EL4X_395 wt b3,B3 - 1 - 7,Couple,Contraite hydrique,3,1,7,droite,395,56,0,0,62,0
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,Monoculture,Contraite hydrique,3,1,8,gauche,265,48,158,5,NA,105
EL4X_265.EL4X_265 wt b3,B3 - 1 - 8,Monoculture,Contraite hydrique,3,1,8,droite,265,43,130,4,NA,105
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,Couple,Contraite hydrique,3,1,9,gauche,165,49,141,4,NA,110
EL4X_165.EL4X_130 wt b3,B3 - 1 - 9,Couple,Contraite hydrique,3,1,9,droite,130,54,160,4,NA,108
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,Couple,Contraite hydrique,3,2,1,gauche,131,63,0,0,180,0
EL4X_131.EL4X_74 wt b3,B3 - 2 - 1,Couple,Contraite hydrique,3,2,1,droite,74,41,126,3,NA,152
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,Monoculture,Contraite hydrique,3,2,2,gauche,395,47,0,0,194,0
EL4X_395.EL4X_395 wt b3,B3 - 2 - 2,Monoculture,Contraite hydrique,3,2,2,droite,395,52,0,0,120,0
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,Monoculture,Contraite hydrique,3,2,3,gauche,89,46,0,0,65,0
EL4X_89.EL4X_89 wt b3,B3 - 2 - 3,Monoculture,Contraite hydrique,3,2,3,droite,89,43,135,4,NA,100
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,Couple,Contraite hydrique,3,2,4,gauche,482,53,110,3,NA,94
EL4X_482.EL4X_118 wt b3,B3 - 2 - 4,Couple,Contraite hydrique,3,2,4,droite,118,29,110,4,NA,106
EL4X_482.EL4X_348 wt b3,B3 - 2 - 5,Couple,Contraite hydrique,3,2,5,gauche,482,43,0,0,20,0
